PC1,PC2,music_genre
1.6981599737466102,-1.1591567201769912,5
1.386678979176409,-0.29524433081238177,5
1.6374120277906183,0.18259542723571287,5
1.7815340506817234,-0.32837209241827564,5
0.5515818074194566,0.8384586227869568,5
1.108538402754268,-0.3407555365822,5
2.2227867168202806,0.770994613572851,5
1.1459983756804153,-0.5733476197853644,5
2.4515633093729026,1.1569453783169108,5
1.4166941554239854,0.5822735267827998,5
-3.5821658469058417,-2.8615474991887044,5
0.7577075156047902,5.161550879284018,5
1.8810267170789972,0.21835916104199138,5
-0.20716038787570712,0.2716313588849403,5
2.0558448581677826,0.9997291635923311,5
0.9547525522237441,-0.4506336776414509,5
1.5619109463691705,1.2509474051249794,5
0.5893990359355318,1.2864120540449424,5
0.5346010004349395,1.1242628155249803,5
0.20642576365245788,-0.31614225384107414,5
2.1910209269470053,1.088213713296782,5
-1.1794691470949898,-1.9813015593802208,5
2.0668765576964128,2.659812142906634,5
2.226093977521175,-0.6835780274438585,5
2.011433299416578,-1.2584391516140132,5
2.886531478550278,-0.32310561664806137,5
1.6537279207360953,-0.37172881216112647,5
2.1899492751240803,4.109160785810089,5
0.1774039660564063,0.06463677641727518,5
1.789910569567447,0.34130349261393145,5
2.585287049108533,0.15206878741545996,5
1.602947529057988,0.5760661377542534,5
1.8502430395838567,-0.4859344400805854,5
-0.32368693042352414,-2.879244287316106,5
0.31058643708146616,-0.16967261357795202,5
0.9262957982178079,-0.20052299329528303,5
1.4979795653738504,-0.5219674806624814,5
0.6195650866852425,0.007281038928365233,5
-0.2004928421220039,2.640283658247142,5
-0.3841275082979114,-0.31151541967447055,5
1.4806624703606972,0.17236553391430137,5
-0.019860470872793086,0.15183298270650705,5
1.5637167638238043,0.5355678101158664,5
2.9477020152448925,-0.6811260639284916,5
2.3339286522873897,-0.08926951456749002,5
2.9284921866150446,0.7753917315029314,5
2.3673472943825726,-0.054172570672351705,5
0.1515446916764951,-0.9551653761056028,5
-1.927732299800982,0.933319734219036,5
2.668656559750625,-0.18971420786041024,5
2.690468103951309,-0.77236170083137,5
0.2473775911554079,-1.2548667364456225,5
-1.2649942900881448,-0.724949396545517,5
-1.840135667264822,3.2236009669547117,5
1.7611837863493796,0.6434562799473588,5
0.7633694602255725,-0.7066346738186248,5
0.4507944759199026,-1.9407252598207727,5
-1.6492647603787396,-0.6508281636104054,5
1.9028892205185501,0.7965322690018614,5
3.8796463577658127,-0.9174825468847131,5
-1.8846344343468495,-0.044162734659481055,5
2.598928603348841,-0.7482676050606586,5
0.42500344858092626,-0.518426871656326,5
2.7699489379247986,0.7028657763062457,5
2.0891721782622605,1.2034270878744513,5
2.3779203843700585,-0.10503551078253716,5
1.3204874326143905,-0.4309178250854841,5
2.7775439400531217,0.9510310151240849,5
2.301530478043214,-0.36515565289818464,5
0.444588522743886,-2.1168952969687997,5
2.2024077038916445,-0.29401546767592684,5
-0.7559364874881226,-0.16839543990902836,5
0.7681907072875562,-1.4660332255696822,5
0.8521933763102935,1.6512386719604515,5
